id,commentText,Labels,Encoded
Ugxmb1Z9PzhkbL2SI3p4AaABAg,I have already tried egg biryani.. now it's time for chicken 😋 and Mam you are master,4,0
Ugys34cYHq02CVYJjmB4AaABAg,Its very delicious,2,0
UgzR_S0TnLqnJWUkHdR4AaABAg,Aap mujhe bahut pasand ho mam.,4,0
UgwhMwQFxlwQTG2sIyR4AaABAg,Though I am unable to follow your language your step by step preparation is very clear to me...easy and simple method of preparing dum briyani...definitely will try...,4,0
UgxFSkHIFAPfmCMcGE14AaABAg,Mast 😂 😘 💕 ❤,3,0
UgwRbB6QI3PoCLjqWQp4AaABAg,Ap boht achi hain our  apki recipe bhi kamal  ki hai...,4,0
UgzggBu-7G4SaiQ42Y54AaABAg,Wao very nice recipe 👌,2,0
UgzYOSbLtoBQOgeX9cx4AaABAg,Ma abhi tak isko 6 baar bana chuki hu.... Unexpressable.... Par comment pahli baar kar rahi hu😆,6,1
UgxBJIQbQwtTwa3WXp54AaABAg,Very good,3,0
UgzLIDhoGfxG1XV5NON4AaABAg,I had made today ur biryani receipe it was tasty nd nice..👍🏻😋,2,0
Ugwf1lURL-xHU9wLc_R4AaABAg,Very nice recipe yummy,2,0
UgzwmG_-84IV0k7UfD14AaABAg,Nice recipe.....,2,0
UgxUuHwuddmO_xLLMw94AaABAg,Very well explained and it is a hit in my home...I have prepared it many times n everyone has just loved it...superb mam...keep it up,4,0
UgxcAQk-gEGKDBtJRNR4AaABAg,Superb mam,3,0
Ugxk8-U5CyqEdRpNzxt4AaABAg,So nice,3,0
UgzRoVHgCxVoBb82u8B4AaABAg,"Mam ,Wheh have to mix rose water?",7,1
UgxNKcpHUbClOyc6d_54AaABAg,Kewda water bhi use krte h kya isme???,7,1
UgxG9ZPfzzVLK7Pz99x4AaABAg,"This is the most simplest way of cooking biryani, will try it. Thanks for the video",5,1
UgwZtOuR0siULUDQ6k14AaABAg,Which brand shahi biryani masala and chicken masala as different brand is different flavour.....pls advice.,7,1
Ugy2_7OT6bxf5FMH8sJ4AaABAg,agr dhi pudina na ho to,7,1
Ugwa7oZgtYLUOFJxj9x4AaABAg,can we skip mint leaves?,7,1
UgzPBFPQbYSC6fPiCRp4AaABAg,Hi.didi.. Mujhe puchna tha ki.. Jo dahi apna dala.. Oo kesa tha. Mene last time dahi dala... Dahi khata tha.. Toh. Chiken gravy khata ho geya,7,1
UgzJyTOMmh_gRaS4OCd4AaABAg,Thanks,1,0
Ugw7teLliYgsTrwguwJ4AaABAg,Oooooh,6,1
UgwAv8Tz2m2v8uTR56Z4AaABAg,Kya tamatar nahi Dalna hai,7,1
UgzUvEtCAfk_pKNdRKB4AaABAg,Very  taste,2,0
Ugwu9pLyRE7LXUT_1nV4AaABAg,chicken ko freeze mein nehi rakhne se koi prblm ho gaya kya Di?,7,1
UgxLJQhlsZXFiGeX38d4AaABAg,I tried ur recipe of dum biryani. It's too good n tasty. But chicken got burnt little. What should I do to avoid it again.. Please give your suggestion,5,1
UgzUcv6MhfIzLC0h63J4AaABAg,"Shahi chicken masala is a combination of what? Because yahan pe shahi masala nahi milta, pls reply mam",7,1
UgyUPwZO-D0cXdf4Eet4AaABAg,Big process,6,1
UgwifHa_gQgDVkT9Trd4AaABAg,I tried it today it came out delicious.. I have added kade masala and other  ingredients 1.5 times more for 2kg chicken and 1 kg 100 gm  basmathi rice and i followed each and every step  it came out really well.. My family loved the recipe.. Thank u for sharing this recipe😊,5,1
UgxaTEE9qkGhdkPaDsV4AaABAg,Kitne log khayenge,6,1
Ugw-nNIDxDt6M2FCDHx4AaABAg,Ab ye javitri kya hota hai ?,7,1
UgweFJTOOi3bOzoMwZt4AaABAg,Mene ye try kiya & it's delicious. Thnkuu for d lovely recipe mam,5,1
UgyTOPjeuqkuLdW_IHF4AaABAg,"Very nice kabita sis👌
I'm in Madurai Tamil nadu",3,0
UgzE_bEjlk5XvqLd6YB4AaABAg,nice presentation,4,0
UgzudcwTypPMJlKDJ9R4AaABAg,Wow nice,3,0
UgwvxomMA6r1JKqxxtJ4AaABAg,1kg chiken main kitna dahi cahiye,7,1
UgzgusIIL_ZRiz8a84h4AaABAg,Agar rice and chicken ka quantity Kam ho to timing same rahega??,7,1
UgzZ0FZgLEuE9Lhclcp4AaABAg,"mene app ki biryani try ki bahot achi bani. sab ko achi lagi. 
lekin muje agar jada grevy chahiye to kya kare.
thank you ☺☺",5,1
UgzKeX3OW3vaeBdb-6d4AaABAg,Maam Kya Ghe ke jagah batter use kar sakte he kya,7,1
Ugx0SmSs30kuWgrjgeB4AaABAg,How much time should I cook on stove if I’m making it with beef?,7,1
Ugw18NzfFJ6KQqSYWHR4AaABAg,U r the best chef on youtube mam.,4,0
UgwU6SxRUrNjkm3AC-14AaABAg,Mam aapne kitne chawal me kitna pani liya...pakane ke liye...kyuki jb bhi mai banati hu...tb chawal sahj se cook hote hi nhi...plzz mam ek baar sahi se bata dijiye,7,1
UgygNpsJ3VaSk0PX8qF4AaABAg,"Super recipe mam ....I tried it... It was awesome.... Thanks a lot... super you are
Keep going👍",5,1
UgwWhIZ9BQAP9Rq5tFt4AaABAg,Amazing  recipe best,2,0
Ugx8bHW7w5s2OfUmtgZ4AaABAg,mam chikn ke pis kacche nahi rahenge ?pls mere qustion ka aanswer dena pls,7,1
UgzLPkcePh4kkZZSCNt4AaABAg,"Hai dear.. I'm from Kerala.. Big fan of you and hyderabadi Biriyani.. I have a doubt.. 

I don't have non stick pan. In that case what type of vessel is to be used for the dum step",5,1
Ugx87IcuTz5dD06Ijap4AaABAg,Thank you,1,0
Ugy1tFmzBj-WSPSeFvp4AaABAg,I tried it ...it was very testy...😛😛😛,2,0
Ugx3n0zn3IPsY-HTSpp4AaABAg,Your cooking is so neat and clean,4,0
UgxlmUJL6tXfljUoqlJ4AaABAg,World best briyani. I have moved to Canada and I have craved for my moms Biryani and this tastes exactly like it. Thank you so much. ❤️❤️❤️ 100/100 MUST TRYYYYY IT,5,1
UgywLZjWX_Z8sCHDbOV4AaABAg,Hii maam..i have a question to ask..u have taken 600g of chicken for dis biryani and so d timing is as according..but what if we vary d amount of chicken..is d timing stil same or how vl we change d timing?pls help..,7,1
UgxOf3VXU815Wa250I54AaABAg,Bhauji agar mutton 1.5 kg aur chawal 1 kg ho to timing kya hoga...,7,1
UgyL4v5k27Bum0h0-nF4AaABAg,Itna aata zayaah krna dum dene k lye himaqat nahi ??,7,1
UgwckGs5E1lJRG2fnxB4AaABAg,Pahle Mai sochta tha doctor se hi Sadi karunga ...but iss video ko dekhne ke bad lagta hai hotel management best hogi mere liye ...your husband is really lucky ..I wish someday my wife coocked same for me ..,6,1
UgzhKdlf7bdUo3_Z2yF4AaABAg,I tried ....yummy ....thank u kabita mam.....,5,1
UgzkYFPmsKw_aZy67zp4AaABAg,It's a perfect recipe for Chicken Dum biriyani...I simply followed each step and my biriyani was awsum in first try..thanks for sharing and we'll describing during the video ...,5,1
UgzAF9KBU0zpaEeO-xJ4AaABAg,"Hello Kabita Ji
Good day
I am in Dubai and i had cooked today Biryani and its cooked so delicious.
Thank you so much 😊",5,1
Ugw-6Vtgz0bF6h7olC14AaABAg,I made exactly same.. And u knw what.?? It was insanely awesome.. D best ever than any restaurant.. Thank you very much Ms.Kabita..!!,5,1
Ugxumz5WJiY5havDXIF4AaABAg,Nice recipe,2,0
UgyMuWNiFDbo7g9DIWF4AaABAg,Kukar me ni bna skte???,7,1
UgxGVydEWAGzgko40Jx4AaABAg,Hyderabadi khachy ghost ki biryani,6,1
UgwOOlrU8xGDBh6i5TJ4AaABAg,"Hello mam,  I tried this biryani recipe today and it turns amazing 💕😍...  Thanks alot for such delicious biryani,,  India's No. 1 cooking Channel - #Kabita's Kitchen 🙏🙏",5,1
UgxIs_WdB2vHBzgD7Vh4AaABAg,"hi mam I have tried many receip such as upma pea nut chutney ,phoa,dosa,and now biryani all the recipe turned out so good that I was appreciated thank u so much  for your clear explaination of ur recipe god bless you and keep it up 😀👍👍👍👍👍",4,0
UgwXNr2HqviGEA-J8h54AaABAg,Madam ye rice kitne rs waale ha ?,7,1
UgzE1QTUegZI73Kvyp54AaABAg,Oh wow that was so simple yet delicious... Will try,2,0
Ugxx9Sp6dzS51ktURa54AaABAg,Bhai koy try mat karna me ne try kiya me ra pura chikan jalgaya,6,1
UgxnpcR2MWJ7uQVaHst4AaABAg,I will try it. You are doing great job👍,4,0
Ugx2f-ADa9G10OHLYZp4AaABAg,"Hi kabita,I tried the biriyani,it was tasty,but i had lot of water collected at the bottom of the vessel.How can i solve that",5,1
UgxQSBuj8hxXNJawzZp4AaABAg,MADAM CHICKEN ME DAHI DALNE SE CHICKEN KHATA TO NAHI HOTA HAI NA....,7,1
UgzERjtrsGW2mgGz68p4AaABAg,Madam simple wale chawal m bna skte hai kya,7,1
UgzqMqJEeN1KSLiG0fJ4AaABAg,"Madam chiken kaun sa legne leg piece wala ki 
  Jo dukan pr kaat kr dete hai",7,1
UgwL01Jf7BSAWWksX794AaABAg,"madam,shahi biryani masala kaisey banaye,?? ya phir a bahar karidley..",7,1
UgzsU9qbl63moloUNxt4AaABAg,"
The measurements are pretty accurate with simple step-by-step explanation. Best wishes from Malaysia ♥️🙏🏽",4,0
UgwIEnhz9y88wCtAdpF4AaABAg,Agar 1kg chaval  lege to kitna Dahi lena hai plz pty,7,1
UgzoWqMN2BY8W3v98CF4AaABAg,Sahi me use aap but jyda mere hai,6,1
Ugy2mr0o5wU6O0Y2p8l4AaABAg,Nice kabitaji for a easy information,4,0
UgxuQXYk-CKIIbx_oa14AaABAg,HE RAAM CHICKEN B.J.P WALO SE BACH KE RAHIYO MULAA GHOSIT KAR DENGE. SORRY JOKES😊😛,6,1
UgwvltxCX9RUiKyrYZZ4AaABAg,"Your way of cooking is very good .......your all recipes are fantastic .....I will try this biryani on saunday .....& please upload the recipe of chicken momos ...
Love u so much kabita dii",4,0
UgzVpOmbbd2i3JwZTid4AaABAg,"So nice    
Awesome!!!!",3,0
Ugwa9FEkK_voG2cFx6l4AaABAg,"Atta k Dough me crack aa ja rha he aur pressure release ho ja rhe he, any solution?",7,1
Ugy-tIULPX0Dug9rslZ4AaABAg,"Kabita mam, you are the only reason i learned cooking. 
Not only that i made cooking as my hobby, being a bachelor my roommates always wait for me to come from office and make something for them. 
All the credit goes to you mam, you are really awesome.😊",4,0
UgxTrkXYtjNfXtP2k7N4AaABAg,"Hello mam,
I tried this recipe today and it was awesome👌
I have never tasted such biryani in any other restaurant earlier",2,0
UgwQXamr8GBl1gQKmht4AaABAg,So nice 😋😋😋,3,0
UgyK-ZCfpwZNUAEq33J4AaABAg,U r a magician....jus love your every recipe....,4,0
UgyRaR7kl6aZWXLQFu94AaABAg,yummy recipe very nice i tried it .it was very tasty,2,0
Ugyfc4rmb_Q0pjxU3EF4AaABAg,Or Bht Achchi Bani Thi  Chicken Dum Biryani Thanku So Much Kabita Di 😘😘😘,5,1
UgzX5gEILRWw-4PAPDV4AaABAg,Am sorry...can u please the cooking time once again.. how many minutes ?,7,1
UgwAcU46JED4peWBjht4AaABAg,"Mam aapki recipe bahut achha laga aur aapka bathane ka tarika bhi bahuti achha hai. Mam mera ek sawal hai Aapne usko seal karke banaya hai agar mai iss beiyani ko pressure cooker me banane se kaisa rahega, pl mam aap bathayenge.",5,1
Ugye3cSpt9PV_-q6JPB4AaABAg,This is going to my first cook ever in my life...,6,1
UgwP40d0SmMeswmTo3t4AaABAg,Delicious kabita mam u are really great..... ,4,0
UgxhNhus-S_BB6IJUnJ4AaABAg,nice recipe,2,0
UgwhJq58FzVXpTdqi2F4AaABAg,apne to aata bataya hi nahi,6,1
Ugyg1I480mgM7L9RUjR4AaABAg,What is low medium flame either it wud b low or medium?,7,1
UgwrIK0WNxvyO3bWtZB4AaABAg,It’s delicious but very time consuming 🙁🙁🙁🙁🙁🙁🙁,2,0
Ugwe0r0WkTjEgq3eGTh4AaABAg,I never cooked biryani but looking at this video i have to try this looks ever so nice,6,1
UgwbvQ7T5MulP8I77NJ4AaABAg,Just perfect recipe mam..  Thanks a lot... Keep up the good work...,5,1
Ugzu9tv4UFpAQj9FfWB4AaABAg,Trying today... hope it comes gud,6,1
UgyTqo3dZZeGpMljygB4AaABAg,Oil to bilkul daala hi nahi aap ne,6,1
UgytqjPrmkfs9dCVz514AaABAg,How many people will it serve???. Want to try it tomorrow,7,1
UgxN7Hb38YkjRIK2nwB4AaABAg,Bahut hi achhi recipe hai...  Mujhe bahut pasand hai...  Hmesa market me hi khane jana padta tha...  Lekin ab ye problem bhi door ho gyi....  Thanks mam...,5,1
UgxFuiRVwIYmbefzMDZ4AaABAg,Very nice cooking style,4,0
UgxM3RstVoP8FOs_K1p4AaABAg,This biryani is just awesome I had made in my home... The major problem we face while making in biryani was that the bottom use to get burned but the way u said nothing got burned.... And one more thing if we add 2table spoon of oil while marinating the chicken it will even give more taste,5,1
UgxOLSSDrwDdm6OBGL14AaABAg,"You are a wonderful chef and instructor..
Keep up the good work...",4,0
UgxihAZMbNGD62J932J4AaABAg,"U added no cooking oil, wil it work??",7,1
UgxmYBVzONcMKMcGKWF4AaABAg,Pls learn Telugu,6,1
UgzTNVniR94-KKzUDWt4AaABAg,Jab ghee dalte hai to uska taste ya smell aata hai kya kyu ki mujhe ghee kewal roti k saath hi aacha lagta hai,7,1
UgwcZQTahINfL0k-hWl4AaABAg,Biryani pan ki jgah cookar me bna skte h kya,7,1
UgybzHmBpgK7DgGrEHF4AaABAg,what if I don't want dum biriyani but I want normal one shouldn't I seal the edges of the pan....  answer me please,7,1
Ugx3RVN1vkztl0vvXTJ4AaABAg,Tq sister...... It was amazing...... All of you try it....... Superb sister......,5,1
UgyCx-DC3ZAimQnonlJ4AaABAg,If we make 2kg of chicken biryani then what are the timing?,7,1
UgwU_lQ3hMzQfe9NRZd4AaABAg,Hi✋🌷and thank u,1,0
Ugz5TGYqjxk3xVh0N594AaABAg,Super your recipes are amazing 👍,4,0
UgxtFBV_kcoB5ONEDtx4AaABAg,Hello mam plzz i want a recipe of biryani masala powder plzzz,6,1
UgyGVIHxuhKvDGtkYgp4AaABAg,Thanks,1,0
UgxSOh4NorqX01hj3Ip4AaABAg,Very nice recipe,2,0
UgwECwmNRwSr0F67U0x4AaABAg,2 good Mam very nice recipe,2,0
UgwEGHqjtC4cAGv-FtF4AaABAg,Today I tried this recipe it was Awesome....My husband loved it....Thanks alot for making my day...,5,1
UgxXRTmRMl6nrY78sBF4AaABAg,Timing explain kijiye plzzzzz,7,1
UgzHLXccYTmovrrWCht4AaABAg,Biryani ka timing nhi samjha,6,1
UgyPaIFSCnOjTmsiqxV4AaABAg,Ma'am kitina bhi jayada biriyani ho..timeing same rahega na? Plz reply maam,7,1
UgyypJbSLUz7atTRGv54AaABAg,Agar tawa nahi hai to direct heat kar sakte hai,7,1
UgyTGVdjqxf410dLT5t4AaABAg,"hii mam,mera biryani bht acha bna 
bt chckn hlka sa lg jata h 
aisa q hota h",7,1
Ugxtrqy9wizF4cDynRd4AaABAg,Bahot best,3,0
UgwscQQAvurD1dy3XeR4AaABAg,Thanx mam .ur biryani is just superb.my family loves it very much.,5,1
UgwO_4bm78ZMue2ZiVd4AaABAg,Pudina patta na ho to kadi ptta use kr sakte h,7,1
UgwZN9q5N2yD1EDPQQ54AaABAg,man dahi ko replace karke kuch aur nhi daal sakte,7,1
UgyacNzLktRBFEPYNIZ4AaABAg,Awesome recipe thank you very much,5,1
UgwxExrwXlPhKc1tm5h4AaABAg,"Love the content, keep up the good work :)",4,0
UgxSENWdRzGYm0TDtuZ4AaABAg,Hi mam 25 people ke liye kitna amount Rice and Chicken use krna chahiye plzzzzz reply me mam,7,1
UgyXMFs5KoWETIy0Tyd4AaABAg,"ye. meri 3, rd tym h..me aapki recipe follow karti hnu
...ye toh restaurant ki biriyani se v bahat bahat bahat acha h...juzz lv it..Well done..mam",4,0
Ugwt1rRPxZGE7UIKi_94AaABAg,"Seeing other people's positive comments definitely makes me want to try this recipe!! I'm giving it a go this weekend, thanks for sharing your recipe 😊",1,0
UgwX22DL-PE0HSGPLTR4AaABAg,Mam you are the nest chef 👏👏👏,4,0
UgwqxpI-7c0eD0D-RJB4AaABAg,Kesar na ho to madam,7,1
UgyQ_a8XsWmUlJm93tJ4AaABAg,Ma'am please app fried chicken biriyani  recipe ki video baaniye,6,1
UgzifijCQ2VdWrUaTSh4AaABAg,Please never forget to write ingredients in the description below.,6,1
Ugws-l_nCTabnTAFsUB4AaABAg,You had explained it so well that even the cook at my house can make biryani so well...it's soooo yumm yumm...one of the best biryanis I have ever tasted..we should thank you for such a good recipe..and because of you we can have biryani at home now,5,1
UgwqH_QnEE6Su9uWQ6R4AaABAg,itne der tak biryani banane se accha bahar se hi order kar lo...,6,1
Ugy5zJhvHEX-9aAu5kN4AaABAg,Kitchen king acha sabji poudar masala bataiye na,7,1
UgwjcKvYvQVOejN6gdF4AaABAg,Very nice biryani,2,0
UgxMUzjR2KshubmqFTl4AaABAg,Maam you are one of the nicest youtubers of the country.Keep the good work going on.,4,0
UgyFl8-yKAE2pHuATMx4AaABAg,Chicken me masala lagakar fridge me kitna Samai tak rakh  sakhte hai?,7,1
Ugx3DwVc3SKviETeFNR4AaABAg,agar thora masale dar chaye to kya kre,7,1
UgzmHApgCjE7cCNKH2B4AaABAg,U are great mam �...�so cute 👑👑👑👑,4,0
Ugw2CYt1I7Nul7V_-kN4AaABAg,I'm from India but living in Germany Ur recipe has been a life saver for me😍thankyu,5,1
UgwOK6pKHXaLIu05DgJ4AaABAg,You only marinated the chicken did not cook before putting rice,6,1
Ugz4Bfp48A4RaYR1GJF4AaABAg,Hi Kavita...I tired ur recipe...it was delicious...but only one problem was there...the rice was dry....can you please suggest how to make rice soft....thanks.,5,1
UgzTWm0Vbyt1V7No3bZ4AaABAg,Mam mujhe nai khana bana ke itna lamba proses kuch chhota or aasan sa btaiye plzz,6,1
Ugxf4NL6ykzYb7Ovd0N4AaABAg,We can skip curd mam,7,1
UgzIoRyyH9WN1ENZlSx4AaABAg,Which brand of Basmati do you recommend for this recipe? Do you recommend parboiled Basmati (sela/seila) over regular basmati?,7,1
UgyNo1q9ri9iDXmpCGN4AaABAg,"Pudina ko skip nhi kar skte kya
..qki ye local market me available nhi hote",7,1
UgyLZfhhDJaNh4RRH1p4AaABAg,25000 calories in one go,6,1
Ugzw0VsC82geoZv513t4AaABAg,Mam agar aloo bokhare dalne ho tho wo chicken ke andar daal dene h jo marinate karte howe? Our kya chicken ko pehle cook nei kar sakte? Ese darr lagta h ke chicken pakke naa yaa jal na jae.. Please reply,7,1
UgwgejSyykRa5jlY_mp4AaABAg,Mam chiken ko ache s saaf to krlijiye gnda h jb chiken itna gnda h to biryani ka test kaise acha ho akta. Plz agli recipie m chiken ko ache s saaf kriyega safai pr dhiyan  de,6,1
UgyCg9ZH1q0nPwlEMzd4AaABAg,I tried this recipe today..chicken was cooked beautifully as well as rice but my masala got burned n stuck on the bottom...was it due to little steam which was passing during dum ? My dough has two leakage spot,7,1
UgwCxv5K5KwLumeJ13l4AaABAg,very nice recipe I will try😋😋😋😋😋,2,0
Ugy12-EJC6aekVqulHt4AaABAg,"Hi Kabita, I tried this biryani at home and taste was good. I used flour to seal the pot but seal got leaked in middle and biryani got burns in bottom. Any idea how to properly seal the pot?",7,1
UgyzSxBefDh4Bt0fPfV4AaABAg,"Hi Dear, 
I made this Biryani yesterday same as per your instructions but my lower chicken got burned and it ruined the whole dish🙁",6,1
Ugxb5wrV8X5q9z5IEX94AaABAg,5 kg chicken biryani ...how much time required for cook the chicken ......can say that... PLEASE,7,1
Ugx3LJ_wqFCkaAlUm0p4AaABAg,Thick pot ki jagah par kya use kar sakte h,7,1
Ugxy3MxRWauVL_Wb9oJ4AaABAg,The meat looked uncooked,6,1
UgyQbijd1qYPO2_dphJ4AaABAg,How to make shahi biryani masala,7,1
UgxE4xWqOqZQqA8kv2V4AaABAg,kabita ji apki recipe bohot simple hai  ....ap jeshe bol kar karte hai bhot acha hai  �,4,0
UgzYchr-HKsH4Vl4lLl4AaABAg,Mam oil kab dalna hai,7,1
UgydmC7jqs9PIrXtJdt4AaABAg,it's taking more time,6,1
Ugzsh4zonx3tns2Kseh4AaABAg,Will try it sure!! Thank you!!😊,1,0
Ugwbj34hMupTMO1PmF14AaABAg,Superb mam....👍👍,3,0
UgwGT55NuPN-4aEVZ4l4AaABAg,This is too much spiciy,2,0
UgyYhmoXUhGzrQx1sa14AaABAg,I have also tried this recipe multiple times. Really yummy recipe....if anyone is a beginner u can check her cooker biryani recipe...its easy quick and delicious,2,0
UgyN0OJWyaoQIrdAYtd4AaABAg,chicken pak jaayega aise,7,1
UgyR2rnTheWSYlmBCVl4AaABAg,Maam Kia hum chicken ki do layr laga skate hai,7,1
Ugz94TGtcKNJqVVAJud4AaABAg,Isse achchi to meri mumma bnati  h,6,1
UgyBQ2cniyJkAKbBuuh4AaABAg,aap master chef ho,4,0
Ugy3JUYBb0IRsgr8bcx4AaABAg,Oh! Wow!,3,0
UgwpqMqltOotNpQRzk94AaABAg,Ye kachi dum biriyani he,6,1
UgxbDWQYuM06hvFQVWp4AaABAg,"I tried it n it's really soo yummy mam
Thanks a lot for uploading this delicious receip",5,1
UgypmYFSfBOTzbMH1V14AaABAg,galti sy 20 mint low ker.dia ab kia.keron?,7,1
Ugx-BE81JFtFqRshChx4AaABAg,were is your chicken,6,1
UgzhUtgyU_nShxmD9sZ4AaABAg,Love you,6,1
UgytIrrzokqlSJjK7f94AaABAg,Superb,3,0
UgzR68cNNQQDzQO66Mh4AaABAg,nice,3,0
Ugzj53Wa_bu0gvjnX7x4AaABAg,Hello mam super👌👌👌,3,0
UgzgBW_G0miHi0kIqkl4AaABAg,Maam ye Jo Apne banaya hai vo kitne lg ke liye hai? And tamatar nai use krna hota hai?,7,1
Ugz2WywqawVpeppA9IF4AaABAg,"Kabitaji maine aapki recipe last year banayi thi,bahut mast bani thi, bacchonko ab tak yaad hai.Ab savan ka mahina chalu hone se pahale banani hai isliye vapas aapki ye haidrabadi biryani ki video  dekh rahi hoon. 😊😘 Thanks kabitaji, aapka recipe bataneka tarika itna acchha hai ki sab aasan ho jata hai.",5,1
UgxVH52F1hkOtFYZZhJ4AaABAg,mam apne to oil nehi dala chicken marinate me.....,6,1
UgwZqwz_tjUaVvmIA194AaABAg,Today for the first time I prepared biryani.... Turned out really well..... Thanks.,1,0
Ugyl4LCe2rZMRKzkOnZ4AaABAg,I like your recipe this recipe very useful,2,0
UgwHlnRqmU98eQhS3JZ4AaABAg,Steam toh nikla hi nehi end mein. Iski CBI jaanch honi chahiye.,6,1
UgwTpAH0Vak09Wo-PWx4AaABAg,pehle khood sikho phir sab  ko sikha o.,6,1
UgxExqIgsHRHLhmqxSF4AaABAg,I love this recipe of chicken dam biryani kabita mam....its really awesome mashaa Allah....i will deffinately try this recipe...but whenever i made biryani at home every time i got confused about rice quantity and my biryani looks like lott of masala insiden with less rice....please give me any tip to correct my rice quantity....,7,1
Ugyvf-1pxKYLA02P_K54AaABAg,lovely way to explain... nice and fast... i tried excellent,4,0
UgwJ_jsGKCZrFW2COSt4AaABAg,Mam chicken rubber jaisa cook hota hai mere se? How can I make soft chicken,7,1
UgzFy6UqJMjaC_OkKnV4AaABAg,I tried this rspy it was really nice.. now i can cook biryani thnqq.. keep sharing ur rspy .. 🙂,1,0
Ugzx2KxEbTIwuwWkLVB4AaABAg,Agar Shahi biryani masala Na ho to ..kya kru,7,1
UgzsAlQJyW5jHZu8K2x4AaABAg,Very yummy Mam ham is me tomato Dal sakte H,5,1
Ugzz-YyWNaBOHAPUs8t4AaABAg,yummy,2,0
Ugyd2hgkeRbihnzmrPB4AaABAg,Thank you for sharing i cant wait to make this,1,0
UgzIbfoSnPZmYfb--K14AaABAg,Rice ko kitne time ubale,7,1
Ugw4HSScxCFolwhncTl4AaABAg,Very easy and tasty recipe. Thank you,5,1
UgynnulAvpTNiB9lh2N4AaABAg,Agar refrigerator naho to,7,1
Ugy0bKQGiz9JC6qOgfh4AaABAg,Thank you for sharing this recipie,1,0
UgxMzeqlRALKf-_tQWd4AaABAg,SuperBBB,3,0
