id,commentText,Labels,Encoded
UgzSwhj05oKcw19Qlat4AaABAg,Very delicious ðŸ‘ŒðŸ‘Œ,2,0
Ugxyzv_J_RHCuroyPtN4AaABAg,very good and nice recipe mam,2,0
UgyiE9p8wXTwFLKANLx4AaABAg,Thanks aap itna Achha paratha Banai hai aur aap bahut acchi hai thanks,5,1
Ugy_OtEYtlobmOpWa3Z4AaABAg,Itna oilðŸ™„,6,1
UgwOTw0fzUuy-3yrtf94AaABAg,Osm pratha aunty ji,2,0
UgydZCdaVGhIU2pTBKZ4AaABAg,Who try this please one like,6,1
Ugw9Bc_FktVSW8vaIt94AaABAg,Wow apke parathe kitte kitte mast h ..wow mughe to abi khane ka mn kr rhe h....mae bi aj hi bnaungi,6,1
UgyhB1mrcQih8xqgauF4AaABAg,Thank you !ðŸ˜,1,0
Ugx_bK1uXWs0mLuHd1J4AaABAg,"Ma'am really your all recipes are testy , i'm ur big fan , this paratha recipe also very nice.",4,0
Ugw4uiDJtrL4Pj9Lk094AaABAg,Majedar bana hai Aloo paratha ðŸ‘ŒðŸ‘Œ,2,0
UgwiYYdQI_xAQ6wB1yh4AaABAg,M newly mrd i dono anythng to cook my hubby lyks alu paratha tqsm mam fr dis recipeðŸ˜˜ðŸ˜˜,1,0
UgyYBhumbCwPm9zi-pl4AaABAg,Nyc,3,0
UgwkzBEf0ViS14eXyUB4AaABAg,This women is very good,4,0
Ugx7f5ITllUosaaCmUp4AaABAg,Very good pratha ji,2,0
Ugyg6tWocXMJZcuxnBR4AaABAg,Thanku mam,1,0
Ugzchve_wz7k52xVGK14AaABAg,"Very very nice holiday i cook
my grandson
im also cooking expert  in all 
once again i wish you",6,1
UgxFosCqmhEkvS_Lnw94AaABAg,Thank you mam bht testy hai...,1,0
UgxRRjpH2TXu2sO4VBJ4AaABAg,Nice bhabi ji,3,0
UgxgRyaaVMa0RKjuX854AaABAg,Mam AAP bahut ache tarike se sikhati h.thanks,5,1
UgzEhXxI-rPH5ByBNI54AaABAg,Thanku so much,1,0
UgzpPvqmJ4mnR_fNdMZ4AaABAg,I am trying  early morning,6,1
Ugz_NVytBR5IBXTtZQJ4AaABAg,Nice Aunty ji,3,0
Ugxuzrar2raYrn1WrbJ4AaABAg,"Thank you I tried it 
It is very tasty",5,1
Ugwk5GlAutd9TNvdL2J4AaABAg,Thanks mummy ji.,1,0
UgwF8AKD-iS3zMQKlH14AaABAg,"auntie its me again THE JOKERfrom kashmir and i wanted to ask that,can we use gram flour(besan)instead of wheat flour(maida)",7,1
UgzMCeQfUhM9gbOnEsZ4AaABAg,Very nice parathe,2,0
UgzmPfyPU5D1id-blat4AaABAg,Super  mam,3,0
UgwsqmKbMTCoMTUp-Gt4AaABAg,koi new recipe dijiye Nisha ji,6,1
Ugwv4F5qKmICAh36aH14AaABAg,Thanks...,1,0
UgzLSmXvbJnQ3xXgVmp4AaABAg,Yummmmmmy ma abi try krny lgii hu,2,0
Ugzu0QTILObb8eIBGFJ4AaABAg,Nice recipe.aap ka andaz itna pyara he samjhane ka ke kia hi baat he.thanks for the recipe,5,1
Ugw2FsdGLPmnrFnQr_14AaABAg,Very yammyyyyyyyyyyyyyyyy,2,0
UgxU4J4BeGOcaNYfPyZ4AaABAg,Really nice Paratha ðŸ¤¤ðŸ¤¤,2,0
Ugzq7_oXO7378XMbAPd4AaABAg,I will try,6,1
Ugzk9kAlVlPeFefhHeF4AaABAg,MarshAllah beautiful excellent parathay,2,0
UgwnPFWjI_f6QRssnpt4AaABAg,Mam m koi bhi stuffed paratha bnati hu to sari stuffing kinaro p aa jati h or beech m sirf aata reh jata h. To kya kru ki stuffing pure parathe m evenly lg jaye,7,1
Ugx56BoZct-_TOUNbbd4AaABAg,aaj to  me bhi ese try karugi   mujhe to aloo ke parathe banana aate hi nhi the thank you so much mam,1,0
UgwkR9hyATkAJsc6PiF4AaABAg,Very very nice thank you for sharing ðŸ‘,5,1
UgzgLNGDoumBcgaOOxh4AaABAg,Superb aunty ji aapse bahut sikhne ko milta hai ab main bhi aapke wajah se ache paranthe banane legi hoon  thankyou aunty ji,5,1
Ugxd0BOrn52VRvdmvot4AaABAg,"Great, thanks a lot for the yummy parathas",5,1
UgxRMpRAl1YCPQ-KbFd4AaABAg,V nice,3,0
UgzLLw3RD3f1tdh6fd14AaABAg,"Thank you Ma, trying your parathas today :) once I succeed I'll reply to my post!",1,0
UgzUUQN_HuANvof5avp4AaABAg,So tasty and you are also so sweet aunty,5,1
UgwvMLvpBE_x0N4YOKV4AaABAg,Superb mam,3,0
UgwlIssKV6KJsLrF-ut4AaABAg,Badhia mam...Apka express karne ka tarikese...Kavi bour Nehi Hoti...Ap bahat ache ho mam..Pyarse patience ke saath samjhati he...,4,0
UgwaCZXwjRwYLzwGMn14AaABAg,Wow thanks u,5,1
Ugx-aN7iivLCZAojfYZ4AaABAg,Very good tastie bhi healthy bhi,2,0
UgwSvyOOhX1vp-SF-bp4AaABAg,Mai KAL banaungi aaloo ke parathe,6,1
UgyC6lqcrI89h9NWNbN4AaABAg,Muje bas aap pasand ho..,4,0
Ugz_8Z80ZbiQWNKuYHJ4AaABAg,"really so,tasty.. ðŸ˜˜",2,0
Ugxtrsov7e0OaQQ-iPN4AaABAg,really lovely,3,0
UgxZsvxhlQvtJfwj9514AaABAg,Apko dekh k ma ki yad aa jati h,4,0
UgyOIvV9ayIqz25ZkTB4AaABAg,Nice recipe mam love you,2,0
UgwmMI6lHO_SscvdgDp4AaABAg,nice,3,0
Ugw0hmdhaGfd-PekwgB4AaABAg,Happy new year aanti,6,1
UgwIJS3Ts0yip1ICjPZ4AaABAg,"Madam... We shall not pour the oil first in the pan. Because if we put parantha over the oil, it will splash.",6,1
UgxMsQAx1cujgFYcdah4AaABAg,Wahi! Yammy yammy,2,0
UgydjpiVZQq85iIGinB4AaABAg,Tsty parathaparathðŸ˜‹ðŸ˜‹,2,0
UgyXnxm4n7MHdbDKqkV4AaABAg,Nice yummy....,2,0
UgyEVYoQYGpmP5i7App4AaABAg,thank you so much,1,0
UgzGNfXTTZKiRjZIGIZ4AaABAg,Wow,3,0
Ugzk-JJRQY3k0W0TvuF4AaABAg,This is amazing  I tried it tasty,2,0
UgzjzZg50DC-IVIHWmJ4AaABAg,Yummy,2,0
UgyyadYgM_eWbp6c2Mp4AaABAg,Nice,3,0
UgzsAjSKYiTzZ2Y2VdB4AaABAg,Bot ganda,6,1
UgwKViV5am3-o4TDlGB4AaABAg,Kya  Partha,6,1
UgyvDFc1M7GFwZZgR_J4AaABAg,Very niceðŸŒ¶ï¸ðŸ‘Œ,3,0
UgyK6fPT9yb8TX-0p1B4AaABAg,Apki awaj jaan nikal leti  bahut khub samghati h cute,4,0
Ugw0y0hfaCYZmsCPoht4AaABAg,Nisha Madhulika top women,4,0
UgzDrI_Tw7Ft4-trye14AaABAg,Wwoooww,3,0
Ugy46xdXbaX_SRdaHjl4AaABAg,Aunty you are too good and very talented ðŸŽ€ðŸ’œðŸ˜˜,4,0
UgxpRaI4jp7mT0L1eI54AaABAg,Nice,3,0
UgwnvD2OQSO6E0PZTVd4AaABAg,Thank you ! Mrs. Singh showed me how to make them when I was in Kolkata. But this is really helpful ðŸ˜„â¤ï¸â¤ï¸â¤ï¸â¤ï¸,1,0
UgxwF47lGyCu-Z6JuCt4AaABAg,à¤®à¥‡à¤°à¥‡ à¤¤à¥‹ à¤®à¥à¤¹ à¤®à¥‡ à¤ªà¤¾à¤¨à¥€ à¤† à¤°à¤¹à¤¾ à¤¹à¥ˆ ðŸ˜˜ðŸ˜˜ðŸ˜˜ðŸ˜˜ðŸ˜˜ðŸ˜ðŸ˜ðŸ˜ðŸ˜ðŸ˜ so easy recipe i trying to home thank you ðŸ‘ðŸ‘ðŸ‘ðŸ‘ðŸ‘,5,1
UgxN4L2Wgik-faWZ3VJ4AaABAg,nice ðŸ‘,3,0
Ugx26Tcqjh_zuucf6iV4AaABAg,Lovely Paratha by lovely woman! Love from Pakistan!,5,1
Ugww526WauwgT7REGAd4AaABAg,"Today eate paratha, my friends are from india  theyre make for me i loved",6,1
UgzoZBNVMwbrCo6vuAJ4AaABAg,Aapki hr recipe must rehti h,4,0
UgysTsr3DKsARCLFLAZ4AaABAg,Aunty  very  yummy  aloo Paratha ðŸ‘ŒðŸ‘Œâš˜,2,0
Ugzltkmcft09DEvgkGp4AaABAg,Mam I love the way u narrate ....your voice is very sweet n way of talking is very calm....ðŸ˜Š,4,0
UgzpdYc2uroH4KJiNpd4AaABAg,Very testi,2,0
UgwRuvWmMfE-uMkTnhp4AaABAg,Thanks mam,1,0
Ugx2jcr6b9o4ucs3k6J4AaABAg,so nice the way you make it Aunty,4,0
Ugz2nOuj7aW191UWo_B4AaABAg,Nice mam,3,0
UgzGF5xgjJP4Mq3NyW14AaABAg,Garlic dalte to orr bhi tasty banta,6,1
Ugwa6Kld0yb5RulJFaJ4AaABAg,Very testy,2,0
UgyNN6USuemMUbtcbcl4AaABAg,Nisha jee you r best chef ðŸ’ŸðŸ‘ðŸ‘ŒREALLY like U frm PAKISTAN ðŸ’Ÿ,4,0
UgyqEGZtgsLTshIWrrt4AaABAg,Tasty,2,0
UgwIwFexjNZFDLXq5Uh4AaABAg,Mam hamare parathe fat jate h kya kare ki fate nhi,7,1
UgzrP1Gd-Txwo4sA7-14AaABAg,very nice,3,0
Ugyd0Hgyc2eWNFrL5HJ4AaABAg,Wow it's amazing to learn parathas  recipie,6,1
UgzFiyOVvO3UYxswm3Z4AaABAg,aloo ke parathe mujhe bahut bahut pasand hai aap mujhe bhej do na,6,1
Ugzvn_72Bu-mFl3_vTt4AaABAg,Hi Nisha mam please make any paratha curry recipes. As early as possible.,6,1
UgzdhRamfSOuZTUNocx4AaABAg,Ma'am aloo fry krke b to parathe banate hai plz uski recipe bhi share kariye,6,1
UgyV5Myd5XiZW6mv_nF4AaABAg,Aunty ji khane ka man Kiya...,6,1
Ugy-ZlAUFYSoslXTpjB4AaABAg,Thank u..... Mam....,1,0
UgxrSX1dj4byfdrCTyl4AaABAg,Nice paratha sooo yummy. Explain Karne ka tharikha hohat acha he. Superb,5,1
UgxsVCmKbwlAjyHHjXV4AaABAg,Very very nice paratha,2,0
UgyWTRcBNdcCqZnu4h54AaABAg,Most welcome mam,6,1
UgzpjYNPxoDOlGMqo9d4AaABAg,Kuch dikh nhi raha,6,1
UgwrEnkACA0lGDUfmXt4AaABAg,wow mam kya aapne parthe banaye hai ðŸ‘ŒðŸ‘ŒðŸ‘ŒðŸ‘Œ,2,0
UgxCpkNoG5lIpxawX9B4AaABAg,Nice,3,0
UgwBxd_1vUGaYX-84uJ4AaABAg,Awww she seems like such a sweet lady I had to subscribed ðŸ’—,4,0
Ugz9eDbiy0pxnR5GoBV4AaABAg,Mam you are so intelligent and your all video is so good,5,1
Ugw5IdVoiRqcPZBd7Qp4AaABAg,Bohot bohot shukriya aunty jee aapka pyar se batane ka tarika bhi bohot acha hai.,5,1
UgzlvwhJz3YoYWuRYvV4AaABAg,Hi Nishaji..I love ur videos..n d way u explain..loads of love keep helping us in cooking variety of dishes I tried  Aloo paratha n turned out very yummy..thanks a lot,5,1
Ugyd2QrGnT9XDHIXhCN4AaABAg,"Pata nahi kyo Lekin jab bhi aapki video dekhta hu eaisa feel hota hai meri maa mujhe samjha Rahi hai thanks a lot 
Your voice is too attractive",5,1
Ugykg4E8ULwW5TOjLjV4AaABAg,Thank you aunty ðŸ˜Š,1,0
Ugx0I15selbHayVJM6Z4AaABAg,"Brilliant  ma;m â˜ºï¸ and
Yummy ðŸ˜‹",5,1
UgzJ0FJf9ldswrm4jVN4AaABAg,"Nisha ji , aap bhut acchi trhan explain karte ho . ðŸ‘ðŸ» 
Nice reciepe .",5,1
UgxN3OTmHtp0yRQ-AOt4AaABAg,I really like ur all videos.. Inspired by u.. And ill try most of ur recipes..love for u mam..respect for you,4,0
UgyVPSL58cv0yFM85jV4AaABAg,I tried ur all recipe s they came super..thank u so much ..I learnt many dishes from u..please finger papad ingredients and it making post ur coming video please,5,1
UgzwvPMnh53n2dpbviF4AaABAg,Very nice paratha,2,0
Ugxf8pa1tMaZANTBCTl4AaABAg,"Wahhhh aunty kya banaya Paratha tasty lajawaab...muh me Pani aa Gaya....kya bolu me...kash ye Paratha bahar aa Jata.,....me banaungi aaj hi...nahi Raha jayega....",5,1
Ugzqc9qk5E_kb9H949N4AaABAg,"I like all ur recipes  n m also trying at my home ðŸ‘ŒðŸ‘ŒðŸ‘ŒðŸ‘Œlove u 
Maam shahina frm New Zealand",4,0
UgweXPOYR_hl5jYuW0F4AaABAg,So tasty auntyðŸ˜˜,2,0
Ugye2opHND9COtpSdDl4AaABAg,"She is very talented
Thanks alot mam ðŸ˜˜ðŸ˜˜ðŸ˜˜ðŸ˜˜",5,1
Ugwi6AowOGF3-3GWTPB4AaABAg,Tadka lga kr BHI hum stuffing bna sacte h,7,1
Ugwq1G6ZQac98gbt_fR4AaABAg,Very nice mam bahut hi acche s bataya h aapne thanks,5,1
UgzfpYskJXbF4vnjkJl4AaABAg,"mam i like the way u cook, easy n great taste...",4,0
UgzSnjQZRs6nxiDPRwB4AaABAg,Mam.aap kon sa tail use krte hai pranthe banane ke  liye,7,1
UgzjRseyuYIwYDNkdO54AaABAg,"Kuch new racipe batoo na ðŸŒ¹ðŸŒ¹ðŸŒ¹ nisha ji i am big fan my ap ke raspice try karte bhoot accha banta samosa aloo ke takie &allmost cooking nisha ji,    imran khan my hasband ðŸŒ¹ðŸŒ¹  for city nagpur",4,0
UgxqC7TUWSCd-ciowuR4AaABAg,Alu hre haiðŸ˜‚ðŸ˜‚ðŸ˜‚,6,1
Ugw6XUBtf-e47DqT6WJ4AaABAg,Waoo mam Very teasty ðŸ‘ŒðŸ‘ŒðŸ‘Œme jarur try krungi.. Thanku mam,5,1
UgzB6yW_JTUpylsOYNh4AaABAg,Thnx for this all favourite recipe.,1,0
Ugyk2hx5voxYeNnJHgN4AaABAg,Nice,3,0
UgwwwszXnDaGEevjJM14AaABAg,Super madam watch smusic vaibhav be puja in Marathi,6,1
Ugxttffomfyi-u688Md4AaABAg,Super mam,3,0
UgyaIpmtgXCj8CbD3-x4AaABAg,Nisha ji ke raspice bhoot pasand aate hai i love cooking for Nisha ji  my name is mrs nusrath khan  from nagpur city,4,0
UgzwO78Ifbp4pZsX1Cl4AaABAg,You are so sweet,4,0
UgxCEw4rEFpME_ZRZPV4AaABAg,You have done the most difficult receipe in easy way awesome !!!ðŸ‘ðŸ‘ðŸ‘ðŸ‘,4,0
UgyNVbB449021SPsHjd4AaABAg,"Mam as usual vvv nicy recipe...
I love alu paratha.....",5,1
UgyK32jyq1HF4hccpVV4AaABAg,Ur explainations are so clear love ur videos Mam ðŸ¥°,4,0
Ugz5_9ylYbtluYjmwqd4AaABAg,I would say Thank you mam for all good cooking .,1,0
UgwYF8m-Un8MHEcGtwB4AaABAg,Whenever i want to cook something i only search your youtube channel because first reason your voice is very nice which dnt irritates me like others youtubers channels and second the way you teach your cooking it make me feel very easy to learn .,4,0
Ugy10KE3TacBzNuFA5R4AaABAg,ðŸ˜‹ðŸ˜‹ðŸ˜‹ðŸ˜‹ðŸ˜‹ðŸ˜ðŸ˜ðŸ˜ðŸ˜˜ðŸ˜˜aaloo pratha.......ðŸ˜ðŸ˜ðŸ˜ðŸ˜ðŸ˜,6,1
UgzpnjpLm5Mr9Hbrz9Z4AaABAg,Tasty,2,0
Ugy2LI9k8wCKHwOSctt4AaABAg,Theek h eshe hi banaugi  ðŸ‘ŒðŸ˜ŠðŸ˜Š,6,1
UgzXhhfaMm1IZwg_-xx4AaABAg,Good method thanks mam,5,1
UgwytG5rJjI9W8gRQD94AaABAg,Very very nice paratha,2,0
UgzbjlvLfF1ujDvzGQJ4AaABAg,please mam share some diet food receipes,6,1
Ugz1v83zJGwUdnFeZLt4AaABAg,Bahut Achhe bne mere prathe,2,0
UgxCSstVbROYkg-H1Qx4AaABAg,Hello mam love you so much â˜º,6,1
UgxeggAKKkEUM5i4BL54AaABAg,"wow very testy yummy yummy Thanku mam, i will try",5,1
UgymW1rbRpfItsl5j9l4AaABAg,"Thanks mam,u are so sweet & lovely.",5,1
Ugwd10LhMbd0iiTCrXV4AaABAg,Yummy paratha ðŸ˜‹ðŸ˜‹ðŸ˜‹,2,0
Ugx797YDaa708mjC0ex4AaABAg,Very nice,3,0
UgwXon5DwkTxwd2UkhJ4AaABAg,Super,3,0
Ugxn8tV7bwjmiZr3iM94AaABAg,I wanted to ask a question but always thought it was not appropriate but couldn't resist today. I want to ask whether do you use a dishwasher for cleaning your utensils? Coz most of them look new.,6,1
UgwZj-yMmtDA5IxEp414AaABAg,Aap k samjhane ka tarika bhut acha h,4,0
UgzJKnwHa9kNjm85XAd4AaABAg,Wah nisha aunty..love frm pakistan ðŸ˜˜,3,0
UgxWRBF95cue4xoSKTV4AaABAg,Very testiðŸ˜‹ðŸ˜‹ðŸ‘ŒðŸ‘ŒðŸ‘ŒðŸ‘Œ,2,0
UgyhwpGM83_i4i45pyp4AaABAg,Love u nd ur recipies aunty,2,0
UgxgMEZB73zbUUTLVLV4AaABAg,Very nice Aunty,3,0
UgzpEr115b4nInoQlkp4AaABAg,"Mam your recipes too good and cooking way is so easy.. Aapki help se m b kitchen me bahut Kuchh bnane lgi hu.. 
Thank you so much mam. I'm your biggest fan ðŸ˜ðŸ˜",5,1
UgzRWwZ_N_JLZjE9DS54AaABAg,This looks so yummy,2,0
UgykJgWCHQrzJxiU_Hl4AaABAg,Super super,3,0
Ugx57RBzJCNr_qJslOF4AaABAg,"excellent mam,,, thank you very much... ðŸ‘‰ðŸ‘ŒðŸ‘ŒðŸ‘ŒðŸ’ðŸ’ðŸŒ¹ðŸŒ¹ðŸŒ…",5,1
UgzwwIhDOQpeYkm13rt4AaABAg,Thank you mam for this nice recipe,5,1
Ugwe01wsS_cuZ-MYQzF4AaABAg,Ak to tumhari neck itni hil rahi hoti hai k mera dheyan tumhari neck p he hota hai,6,1
UgyIyLUlK61qnoObD-B4AaABAg,Kya him aate or sabhi aalo masalo koo mix kr skte h kya plz reply plzzzzzzzzzzzzzzzzzzzzzz,7,1
UgwasScHniorBw1BAZh4AaABAg,Bohat tasty Dikh rahahe.i mean fantastic.,2,0
Ugy7peWvk5ZJtMXb2Nd4AaABAg,she is so sweet ðŸ˜ðŸ’Ÿ,4,0
Ugy9eiLIRPMn7uA8nG94AaABAg,thnx mam..aap to reply karne me bhi bahut fast ho,5,1
UgxeTBivEQEZY5441Wx4AaABAg,kya mam garam masala use kar skte h????,7,1
UgxzCvK-D9dxy2B2I7d4AaABAg,"hiâ˜ºâ˜º
Kya hum all purpose flour use kar sakte hai????",7,1
Ugw3Yw72DMcXxdMYuzp4AaABAg,Wow soo taste....,2,0
UgwzecrDPWVRM4FjjHx4AaABAg,Nice,3,0
UgxHEndNIUijxpzpZBx4AaABAg,nice,3,0
UgxsXsRyQoEmauBJ5u54AaABAg,Madam u explain very softly and sweetly like ur paratha,4,0
Ugzq0tKR6lk6Df2wWph4AaABAg,"Hello mam aapka har recipe bahut testi hota h 
Apka har recipe follow krti hu
Mere husband toh bahut khush ho jaate h mere se so thank you mam",4,0
UgyD3jPD9yW7a623vnV4AaABAg,Super Auntie,3,0
UgydzTuDhmbDsjoCDlJ4AaABAg,nice,3,0
Ugw91pwV3wfGKt-BSp94AaABAg,Nice,3,0
UgyYopLDq45z7QoFUiB4AaABAg,Very well explained.I wish I can cook like her,4,0
UgwJHLzWFZQpiC86RER4AaABAg,M aapke  hr video  dekhti  hu aap bhut ache ho,4,0
UgwYeUwIQzmzjC5UgU14AaABAg,very very very tasty,2,0
UgwQZDi6c1RXwdFWBSZ4AaABAg,One like for this talented Anty ðŸ˜‰,4,0
UgxPCV4joG_ZkyJNgSN4AaABAg,Nice made AntyðŸ˜‰,4,0
Ugw-0R4tXqCzbU3BIwh4AaABAg,Buhat acha sikhati hayn,4,0
UgxMioVUCDaIXtm-cfF4AaABAg,bahut tasty bahut mast tha ghar me sbko bahut bahut pasand aaya bahut tasty tha ðŸ˜‹,2,0
Ugzk29F-fDkEHHpUC-l4AaABAg,Thanks aunty for this recepie â¤,1,0
Ugw2uYvw25QDHCgA7nJ4AaABAg,bahot bhadiya bana h mam,2,0
UgzWM_HD3kUI4B4P6QZ4AaABAg,Thank you,1,0
UgytCmHQ26laDAPvWLh4AaABAg,Waooo it's so yummy my mouth is watering ðŸ˜‹,2,0
UgzYNZ1tosctFo0g-rl4AaABAg,Aap mujhe bhot achi lagti hain bhot meetha bolti hain aap aur apki recipes jabse apka channel bana tabse dekhrahi hun or itna kuch seekha aapse God bless you.,4,0
Ugzdsd7xL4p2aKrCygh4AaABAg,maam so sweet,4,0
UgxHN6xlvF0h_778oWd4AaABAg,thanks mam,1,0
Ugwc0Fye1n8TR3V08kl4AaABAg,I lv ur smile nd voice mam. Lv u alot...,4,0
UgyzfUaOLO09f1kkA_Z4AaABAg,Mama mia,6,1
UgyQgCHATAyW3Anrgld4AaABAg,Super tq,1,0
UgzRRs1TFk5DCUSoW3x4AaABAg,"Aap etne acche kaise bol lete hain,     aap ki presentation se hamara dil paratha se vi bhar gaye hain unty, thank u .",4,0
UgyRkeYSrarb3f1EZtN4AaABAg,tnx nisha madulika,1,0
UgyrYDmYfFPSvti-n3d4AaABAg,m ne kal ye parata banaya ta to buht  hi yummy bana ta,2,0
UgzefJLbkONEfrJis154AaABAg,you are the best chef ðŸ˜ŠðŸ˜ŠðŸ˜ŠðŸ˜ŠðŸ˜ŠðŸ˜ŠðŸ˜ŠðŸ‘ŒðŸ‘ŒðŸ‘Œ,4,0
UgzKoKMChJ3HaWyMTrB4AaABAg,it was yummmmmmmmmmmmmmmmmmmmmmðŸ˜‹ðŸ˜‹ðŸ˜‹ðŸ˜‹ðŸ˜‹ðŸ˜‹ðŸ˜‹ðŸ˜™ðŸ˜šðŸ˜ðŸ˜˜ðŸ˜—ðŸ˜‡ðŸ¤—,4,0
UgwWIVGzZ9ZwHEvID0x4AaABAg,it was last modified to the method,6,1
